complaint_number,request_date,complaint_date,complaint_channel,complainer_kind,complainer_name,complaint_topic,complaint_against,original_request_topic,status,decision,termination_date,days_to_treat
 18/23,15/08/2022,10/01/2023,email,citizen,,failure to respond,משרד החינוך,בקשת מידע על ערך הנקודה במספר תקנות,termination of treatment,justified,09/02/2023,29
 128/23,19/01/2023,27/03/2023,email,citizen,,lack of reasoning,משרד הכלכלה,מפת חלוקת קרקעות הודיה,termination of treatment,unjustified,20/04/2023,23
 156/23,06/03/2023,03/05/2023,email,citizen,,failure to respond,"צהל""",אסמכתאות לקיום הכרזה כשטח אש,termination of treatment,justified,24/05/2023,21
 172/23,14/02/2023,09/05/2023,email,citizen,,failure to respond,הרשות הארצית לכבאות והצלה,שריפות פסולת,termination of treatment,justified,31/05/2023,22
 183/23,23/03/2023,08/05/2023,email,citizen,,failure to respond,"רשות שוק ההון, הביטוח והחיסכון",חוזרי המפקח על הביטוח,termination of treatment,justified,13/06/2023,33
 250/23,15/11/2020,19/06/2023,email,citizen,,failure to respond,המשרד להגנת הסביבה,מטרדי ריח,termination of treatment,justified,08/08/2023,42
 270/23,19/06/2022,10/07/2023,email,citizen,,failure to respond,משרד הבריאות,"תנאי מכרז קול הבריאות""""",termination of treatment,justified,10/08/2023,29
 314/23,10/03/2023,06/08/2023,email,citizen,,failure to respond,משרד הבריאות,הנחיות המשרד,termination of treatment,justified partially,24/01/2024,169
 391/23,25/05/2023,09/08/2023,online form,citizen,,failure to respond,משרד הרווחה והשירותים החברתיים,פנימיית אורנים,termination of treatment,justified,28/03/2024,211
 395/23,29/03/2023,04/09/2023,online form,non-profit organization,האגודה לזכויות האזרח,failure to respond,שירות בתי הסוהר,אסיר נזקק ועיקולים,termination of treatment,justified,24/01/2024,142
 396/23,20/03/2023,04/09/2023,online form,non-profit organization,האגודה לזכויות האזרח,failure to respond,שירות בתי הסוהר,רכישות בקנטינה,termination of treatment,justified,18/01/2024,136
 399/23,15/02/2023,21/08/2023,online form,citizen,,failure to respond,משרד הבריאות,פירוט טיפול בפניות,termination of treatment,unjustified,14/12/2023,99
 408/23,03/08/2022,11/09/2023,online form,citizen,,failure to respond,משרד הבריאות,תקציבי פרסום,termination of treatment,justified,10/01/2024,120
 409/23,20/02/2023,11/09/2023,online form,citizen,,failure to respond,משרד הבריאות,שיתוק רפה חד,termination of treatment,justified,10/01/2024,120
 410/23,28/09/2022,11/09/2023,online form,citizen,,failure to respond,משרד הבריאות,מסקנות ועדה,termination of treatment,justified,10/01/2024,120
 411/23,31/01/2023,10/09/2023,email,citizen,,failure to respond,משרד הבריאות,נתונים גולמיים של הגרלות הסטאז',termination of treatment,justified,21/09/2023,9
 413/23,29/01/2023,25/07/2023,online form,non-profit organization,קו לעובד,failure to respond,משרד העבודה,פעולות אכיפה של מינהל הבטיחות,termination of treatment,justified,08/04/2024,209
 25/24,30/07/2023,23/01/2024,email,citizen,,failure to respond,משרד החינוך,"החלת אופק חדש על החינוך המוכשר""",termination of treatment,justified,26/02/2024,33
 98/24,17/07/2023,17/03/2024,online form,citizen,,failure to respond,משרד העבודה,מפעילי עגורן צריח - מנופאים,termination of treatment,unjustified,09/05/2024,52
 100/24,20/02/2024,20/03/2024,email,citizen,,failure to respond,משרד הפנים,תיקי פיקוח,termination of treatment,unjustified,20/03/2024,0
 122/24,08/02/2024,11/04/2024,online form,non-profit organization,איחוד הישיבות בארי,failure to respond,"צהל""","גיוס מלשביות וועדות ערר""",termination of treatment,justified,20/06/2024,66
 198/24,11/04/2024,03/06/2024,email,citizen,,failure to respond,משרד המשפטים,דרוג עובדים רשות השידור,termination of treatment,unjustified,20/06/2024,17
 208/24,01/06/2024,13/06/2024,email,citizen,,failure to respond,משרד המשפטים,עיון בתיק חקירה 16020,termination of treatment,justified,31/07/2024,44
 231/24,31/03/2024,04/07/2024,email,citizen,,failure to respond,משרד המשפטים,"חווד משרד המשפטים""",termination of treatment,justified,01/08/2024,28
 251/24,09/06/2024,14/07/2024,email,citizen,,failure to respond,משרד התיירות,ביקורת פנימית משרד התיירות,termination of treatment,unjustified,19/08/2024,35
 252/24,28/09/2023,14/07/2024,email,citizen,,failure to respond,משרד הבריאות,דבש שרשת רמי לוי ייבאה לישראל,termination of treatment,justified,27/08/2024,43
 280/24,01/06/2024,13/06/2024,email,citizen,,failure to respond,משרד המשפטים,עיון בתיק חקירה 16020,termination of treatment,justified,18/09/2024,50
 281/24,15/05/2024,25/07/2024,online form,non-profit organization,איחוד הישיבות בארי,failure to respond,"צהל""","מלשבים שקיבלו מעמד של 'חוזרים בתשובה'""",termination of treatment,justified,16/09/2024,48
 293/24,15/05/2024,04/08/2024,email,citizen,,failure to respond,רשות האכיפה והגבייה,4 תיקי חוב,termination of treatment,unjustified,22/08/2024,8
 347/24,10/05/2024,06/10/2024,email,citizen,,failure to respond,משרד ראש הממשלה,"ייעוץ לרהמ מטעם משרדו""",termination of treatment,justified,11/11/2024,35
 366/24,03/04/2024,27/10/2024,email,citizen,,failure to respond,המשרד להגנת הסביבה,פליטה של מפעל הסמוך למקום מגורים,termination of treatment,justified,03/11/2024,7
 282/23,10/06/2023,20/07/2023,online form,citizen,,failure to respond,הרשות הארצית לכבאות והצלה,קבלת הקלטות שיחה,termination of treatment,unjustified,08/08/2023,20
 24/22,07/11/2021,20/01/2022,online form,non-profit organization,תחרות - התנועה לחירות בתעסוקה,failure to respond,משרד החינוך,תקצוב ארגוני המורים,termination of treatment,justified,14/02/2022,25
 387/24,13/06/2024,08/11/2024,online form,non-profit organization,נדן - סיוע משפטי לחיילים בשירות חובה,failure to respond,"צהל""","תמיכות, עבירות ומשמעת, ועוד",undergoing treatment,,,20
 234/22,06/02/2022,31/05/2022,online form,non-profit organization,המכון הישראלי לדמוקרטיה,failure to respond,משרד העבודה,אכיפת איסור העסקה ביום המנוחה,termination of treatment,justified,19/07/2022,49
 235/24,31/12/2023,07/07/2024,online form,other,,failure to respond,משרד התחבורה והבטיחות בדרכים,פרטים אודות משאית MAN מדגם TGS,termination of treatment,justified,11/07/2024,4
 407/23,25/12/2022,12/09/2023,online form,non-profit organization,תנו לחיות לחיות,failure to respond,משרד החקלאות ופיתוח הכפר,תקציבי פרסום,termination of treatment,justified,29/02/2024,170
 348/24,22/07/2024,07/10/2024,online form,non-profit organization,עתים - יעוץ ומידע במעגל החיים היהודי,failure to respond,המשרד לשירותי דת,ניפוח שעות עבודה לצורך failure to respond,termination of treatment,unjustified,15/10/2024,8
 77/23,31/08/2022,02/03/2023,online form,citizen,,failure to respond,משרד החינוך,ציוני בגרות,termination of treatment,justified,29/03/2023,27
 231/22,09/03/2022,30/05/2022,online form,citizen,,failure to respond,משרד ראש הממשלה,תמיכות משרד ההתיישבות בהקמה ותפעול של מחלקות סיור ,termination of treatment,justified,13/07/2022,44
 213/22,22/02/2022,16/05/2022,online form,non-profit organization,נושמים נקי,failure to respond,משרד הבריאות,מס' פניה 651507,termination of treatment,justified,07/06/2022,22
 210/24,11/02/2024,19/06/2024,online form,citizen,,failure to respond,משרד התחבורה והבטיחות בדרכים,צי האוטובוסים של חברת גלים,termination of treatment,justified,30/07/2024,41
 255/23,07/11/2022,01/07/2023,online form,non-profit organization,אזרחים למען אוויר נקי,failure to respond,מנהל citizenי אזור יהודה ושומרון,שריפות פסולת ואכיפה סביבתית,termination of treatment,justified,11/09/2023,72
 33/22,19/10/2021,27/01/2022,online form,citizen,,failure to respond,משרד ראש הממשלה,ביצוע החלטות הממשלה,termination of treatment,justified,26/05/2022,119
 70/24,09/08/2023,03/03/2024,online form,non-profit organization,קו לעובד,failure to respond,משרד הבריאות,העתק הסכם משרד הבריאות,termination of treatment,justified,18/04/2024,46
 635/21,26/10/2021,27/12/2021,online form,citizen,,failure to respond,משרד הבריאות,failure to respond לפנייה דרך חוק חופש המידע,termination of treatment,justified,09/02/2022,44
 61/24,08/01/2024,19/02/2024,online form,citizen,,failure to respond,המשרד להגנת הסביבה,failure to respond,termination of treatment,unjustified,26/02/2024,7
 495/23,25/12/2022,14/12/2023,online form,non-profit organization,תנו לחיות לחיות,failure to respond,משרד החקלאות ופיתוח הכפר,פרסום מזון וצער בעלי חיים,termination of treatment,justified,18/03/2024,95
 22/22,30/09/2021,19/01/2022,online form,citizen,,failure to respond,משרד הבריאות,כמות ניפוקי קנאביס רפואי בפועל,termination of treatment,justified,26/05/2022,127
 496/22,02/10/2022,23/12/2022,online form,citizen,,failure to respond,שירות בתי הסוהר,בקשת מידע,termination of treatment,unjustified,28/12/2022,5
 309/24,18/10/2023,03/09/2024,online form,citizen,,lack of reasoning,משרד הבריאות,"התכתבויות בין משרד הבריאות לביח העמק בעניין מרשיי""",termination of treatment,justified,29/10/2024,56
 190/23,10/01/2023,16/05/2023,online form,citizen,,failure to respond,משרד התחבורה והבטיחות בדרכים,דוח בדיקה על השפעת נוכחות שיטור,termination of treatment,justified,28/06/2023,43
 329/22,20/06/2021,09/08/2022,online form,other,,failure to respond,משרד המשפטים,"מסמכים שונים -יועמש""",termination of treatment,justified,31/12/2023,509
 114/24,17/01/2024,10/04/2024,online form,non-profit organization,תנו לחיות לחיות,failure to respond,"צהל""","כלבי שירות בצהל""",termination of treatment,justified,06/06/2024,57
 254/22,27/01/2022,12/06/2022,online form,citizen,,failure to respond,מנהל citizenי אזור יהודה ושומרון,צו 348: הנחיות מנהליות ומידע,termination of treatment,justified,18/07/2022,36
 311/24,29/05/2024,04/09/2024,online form,citizen,,failure to respond,"צהל""",הכנסת כספים לרצועת עזה,termination of treatment,justified,15/10/2024,41
 92/24,04/02/2024,14/03/2024,online form,citizen,,failure to respond,משרד התחבורה והבטיחות בדרכים,ביצוע בפועל של קווים שונים 2022-2023,termination of treatment,justified,26/06/2024,105
 363/22,29/05/2022,27/08/2022,online form,citizen,,failure to respond,משרד הבריאות,"קבלת דוח מומחה חיצוני""",termination of treatment,justified,04/05/2023,251
 304/22,05/07/2022,20/07/2022,online form,citizen,,failure to respond,משרד העבודה,מידע על צהרונים ופרטי קשר,termination of treatment,unjustified,01/08/2022,12
 323/23,12/03/2023,11/08/2023,online form,other,,failure to respond,משרד החקלאות ופיתוח הכפר,נוהל המלצות להעסקת עובדים פלסטינים,termination of treatment,justified,31/08/2023,20
 131/23,30/01/2023,29/03/2023,online form,citizen,,failure to respond,משרד החקלאות ופיתוח הכפר,פיקוח השירות הוטרינרי על אוניות המשמשות להובלת מקנה,termination of treatment,justified,24/08/2023,148
 188/23,22/12/2022,14/05/2023,online form,citizen,,failure to respond,משרד הבריאות,מידע בדבר פעילות לאכיפת נוהל השתתפות סטודנטים ,termination of treatment,justified,25/07/2023,72
 296/23,20/04/2023,27/07/2023,online form,non-profit organization,מגן ביטחון,failure to respond,"צהל""","פרישה ושחרור מצהל נוכח נסיבות רפואיות""",termination of treatment,justified,21/09/2023,56
 415/23,01/08/2023,12/09/2023,online form,citizen,,failure to respond,משרד התיירות,נהלי משרד התיירות,termination of treatment,justified,29/02/2024,170
 611/21,13/12/2021,15/12/2021,online form,citizen,,lack of reasoning,רשות המסים בישראל,פטור חלקי ממס רכישה לנכה,termination of treatment,unjustified,10/03/2022,85
 484/23,17/04/2023,21/11/2023,online form,citizen,,failure to respond,משרד הבריאות,פורמולת מזון לתינוקות נוטרילון,termination of treatment,justified,31/01/2024,71
 99/22,20/10/2021,13/03/2022,online form,non-profit organization,תנו לחיות לחיות,failure to respond,משרד החקלאות ופיתוח הכפר,היתרי מופעים עם בעלי חיים,termination of treatment,justified,30/05/2022,78
 220/23,30/03/2023,08/06/2023,online form,non-profit organization,איחוד הישיבות בארי,failure to respond,"צהל""",תקופת ההסתגלות השנייה,termination of treatment,justified,08/02/2024,245
 84/22,01/02/2022,02/03/2022,online form,citizen,,failure to respond,רשות האוכלוסין וההגירה,בקשה לקבלת מידע מכח חוק חופש המידע,termination of treatment,unjustified,07/03/2022,6
 68/24,22/01/2024,26/02/2024,online form,citizen,,failure to respond,משרד הבריאות,הרכב הוועדה בנושא המדיניות על הסיגריות האלקטרוניות,termination of treatment,justified,13/05/2024,77
 344/23,17/07/2023,20/08/2023,online form,citizen,,failure to respond,הרשות הארצית לכבאות והצלה,שליחת מסמכים,termination of treatment,unjustified,29/01/2024,162
 612/21,15/12/2021,15/12/2021,online form,citizen,,failure to respond,משרד החינוך,בתי ספר מצטיינים,termination of treatment,justified,28/04/2022,134
2/22,09/11/2021,02/01/2022,online form,citizen,,failure to respond,משרד החוץ,בקשה לקבלת מידע לפי חוק חופש המידע,termination of treatment,unjustified,10/03/2022,68
 468/23,10/09/2023,10/11/2023,online form,citizen,,failure to respond,משרד החקלאות ופיתוח הכפר,failure to respond סמוכין 388601  10.09.23,termination of treatment,unjustified,14/12/2023,34
 264/24,01/04/2024,16/07/2024,online form,citizen,,failure to respond,משרד העבודה,אישור מסירת עיצום,termination of treatment,unjustified,30/07/2024,14
 404/24,19/05/2024,25/11/2024,online form,other,,failure to respond,משרד המשפטים,מידע מפרקליטות המדינה פלילי,undergoing treatment,,,3
 113/24,14/01/2024,10/04/2024,online form,non-profit organization,תנו לחיות לחיות,failure to respond,משרד הבריאות,חלופות ניסויים בבעלי חיים,termination of treatment,justified,10/06/2024,61
 334/24,09/04/2024,19/09/2024,online form,citizen,,failure to respond,משרד החינוך,חוק יום הזיכרון ליצחק רבין במערכת החינוך,termination of treatment,justified,23/09/2024,4
 416/22,02/05/2022,26/10/2022,online form,other,,failure to respond,משרד המשפטים,תלונה על failure to respond לבקשה לקבלת מידע על פי החוק,termination of treatment,justified,03/05/2023,189
 53/22,18/01/2022,10/02/2022,online form,citizen,,lack of reasoning,בית חולים איכילוב,מידע בנושאים שונים בנושא קורונה,termination of treatment,unjustified,21/02/2022,11
 72/24,04/02/2024,04/03/2024,online form,citizen,,failure to respond,משרד הבריאות,תוצאות הטיפול בחברת סנקי,termination of treatment,justified,02/05/2024,59
 415/22,05/09/2022,24/10/2022,online form,non-profit organization,איחוד הישיבות בארי,failure to respond,"צהל""",קוד מוסד לישיבות,termination of treatment,justified,03/05/2023,191
 139/23,02/02/2023,03/04/2023,online form,non-profit organization,מגן ביטחון,failure to respond,"צהל""",רכישת זכויות בגין שנים קודמות בשירות קבע,termination of treatment,justified,10/07/2023,98
 142/22,27/02/2022,31/03/2022,online form,citizen,,failure to respond,המשרד לביטחון לאומי,מתן נימוקים אודות החמרה בקריטריונים לחידוש רישיון,termination of treatment,justified partially,28/04/2022,28
 293/23,14/04/2023,26/07/2023,online form,citizen,,failure to respond,משרד החקלאות ופיתוח הכפר,"מענה מהמנכל""",termination of treatment,unjustified,30/07/2023,4
 498/23,03/08/2023,27/12/2023,online form,citizen,,failure to respond,מנהל citizenי אזור יהודה ושומרון,הנחיות מנהליות וחקיקה ראשית ומשנית בצו 348,termination of treatment,justified,03/06/2024,159
 114/22,16/02/2022,22/03/2022,online form,citizen,,failure to respond,משרד החינוך,גב' דלית שטאובר - ניגוד עניינים וחוות דעת,termination of treatment,justified,06/04/2022,15
 208/23,03/01/2023,30/05/2023,online form,non-profit organization,איחוד הישיבות בארי,failure to respond,משרד המשפטים,הפגנות ומחאות,termination of treatment,justified,12/07/2023,43
 450/22,09/07/2022,24/11/2022,online form,citizen,,failure to respond,משרד הפנים,אישור ונימוקים להעלאת ארנונה - שערי תקווה,termination of treatment,unjustified,22/12/2022,28
 127/24,08/08/2023,24/04/2024,online form,citizen,,failure to respond,משרד הבריאות,פרוטוקולים של הועדה הציבורית להרחבת סל השירותים,termination of treatment,justified,18/07/2024,85
 120/23,07/02/2023,16/03/2023,online form,non-profit organization,אלוט,failure to respond,משרד החינוך,מידע בנושא הרפורמה בחינוך המיוחד,termination of treatment,justified,24/05/2023,69
 15/22,04/10/2021,16/01/2022,online form,citizen,,failure to respond,משרד הבריאות,פרטי שכר ראש מטה מגן ישראל,termination of treatment,justified,28/03/2022,71
 520/22,30/11/2022,30/12/2022,online form,citizen,,failure to respond,משטרת ישראל,אי קבלת מענה מפניות הציבור,termination of treatment,unjustified,11/01/2023,12
 46/23,26/12/2022,08/02/2023,online form,non-profit organization,תנו לחיות לחיות,failure to respond,משרד החינוך,בעלי חיים במוסדות חינוך,termination of treatment,justified,02/03/2023,22
 228/24,10/01/2024,01/07/2024,online form,citizen,,failure to respond,משרד המשפטים,"חוד היועמ""ש שהוגשה בעע""מ 6542/15""",termination of treatment,justified,08/08/2024,38
 250/24,19/11/2023,15/07/2024,online form,non-profit organization,מוסרי ארגון זכויות אדם יהודי,failure to respond,"צהל""",אישור חיילים לשימוש בזרעם,termination of treatment,justified,19/08/2024,35
 135/24,27/02/2022,02/05/2024,online form,citizen,,failure to respond,רשות מקרקעי ישראל,מידע דחוף,termination of treatment,unjustified,25/07/2024,84
 32/22,04/01/2022,26/01/2022,online form,citizen,,failure to respond,רשות האוכלוסין וההגירה,"בקשה לקבלת מידע לפי חוק חופש המידע התשנח - 1998""",termination of treatment,unjustified,27/02/2022,32
 31/24,25/12/2023,30/01/2024,online form,citizen,,failure to respond,המשרד לביטחון לאומי,מינויי השר לפקידי רישוי לכלי יריה,termination of treatment,justified,04/04/2024,65
 392/24,18/04/2023,10/11/2024,online form,citizen,,failure to respond,משרד הבריאות,צוות איפכא מסתברא,undergoing treatment,,,18
 184/22,16/03/2022,26/04/2022,online form,citizen,,failure to respond,משרד החקלאות ופיתוח הכפר,מסמכים מהחלטת פקיד היערות להשגה,termination of treatment,justified partially,28/06/2022,63
 373/24,18/06/2024,01/11/2024,online form,citizen,,failure to respond,משרד הבריאות,מחלת הסרטן במושב מאור (מחוז חיפה),undergoing treatment,,,27
 356/24,31/01/2021,11/10/2024,online form,citizen,,failure to respond,משרד הבריאות,קבלת מידע (קיים),termination of treatment,unjustified,27/10/2024,16
 36/23,14/03/2022,06/02/2023,online form,citizen,,failure to respond,משרד החינוך,ביקורת שעות בחטיבות עליונות,termination of treatment,justified,23/02/2023,17
 266/23,31/01/2023,09/07/2023,online form,non-profit organization,יוצאים לשינוי,failure to respond,"צהל""","בוגרי החינוך החרדי בצהל""",termination of treatment,justified,21/09/2023,74
 127/23,28/02/2023,26/03/2023,online form,citizen,,failure to respond,משרד המשפטים,failure to respond,termination of treatment,unjustified,10/05/2023,45
 266/24,16/05/2024,17/07/2024,online form,citizen,,lack of reasoning,משרד התחבורה והבטיחות בדרכים,פרוטוקולים,termination of treatment,unjustified,08/10/2024,84
 401/24,14/07/2024,20/11/2024,online form,citizen,,failure to respond,משרד הבריאות,דוחות בקרה בגני תקשורת במודיעין,undergoing treatment,,,8
 22/23,12/12/2022,16/01/2023,online form,citizen,,failure to respond,"צהל""",מסמכים אישיים,termination of treatment,justified,12/03/2023,55
 67/23,18/12/2022,21/02/2023,online form,non-profit organization,מגן ביטחון,failure to respond,"צהל""",תשלום וטיפול בבקשות פורשים לקבלת העתק מן התיק האיש,termination of treatment,justified,11/05/2023,79
 93/22,15/12/2021,13/03/2022,online form,citizen,,failure to respond,משרד הביטחון,תקצוב,termination of treatment,justified,24/03/2022,11
 406/24,20/07/2023,26/11/2024,online form,citizen,,failure to respond,משרד הבריאות,מסמך מפורט מי היו חברי וועדת הערר,undergoing treatment,,,2
 183/24,07/05/2024,22/05/2024,online form,citizen,,lack of reasoning,הנהלת בתי הדין הרבניים,"מאגר שות של מבחני טוענים רבניים""",termination of treatment,unjustified,13/06/2024,22
 207/23,11/12/2022,30/05/2023,online form,non-profit organization,איחוד הישיבות בארי,failure to respond,משטרת ישראל,אכיפה נגד מחאות,termination of treatment,justified,25/07/2023,56
 132/24,20/03/2024,01/05/2024,online form,citizen,,failure to respond,משרד העבודה,פרסום נהלים מינהל הבטיחות והבריאות,termination of treatment,justified,12/09/2024,134
 55/24,20/10/2023,13/02/2024,online form,non-profit organization,"מרכז רקמן, אוניברסיטת בר אילן",failure to respond,משרד המשפטים,מידע לשנתון סטטיסטי- סיוע משפטי,termination of treatment,unjustified,06/03/2024,23
 308/24,19/03/2024,02/09/2024,online form,citizen,,failure to respond,משרד הבריאות,קבלת מידע על מכונים לצילום רנטגן דנטליים,termination of treatment,justified,10/10/2024,38
 281/23,31/01/2023,19/07/2023,online form,citizen,,failure to respond,משרד המשפטים,ועדת החמישה,termination of treatment,justified,24/07/2023,5
 276/24,05/05/2024,28/07/2024,online form,citizen,,lack of reasoning,משטרת ישראל,קבלת רשימת תלונות שהוגשו,termination of treatment,unjustified,31/07/2024,3
 100/23,18/01/2023,06/03/2023,online form,non-profit organization,ק.מ.ח. קידום מקצועי חרדי ער,failure to respond,רשות החברות הממשלתיות,נבחרת הדירקטורים 2022,termination of treatment,justified,24/05/2023,79
 80/24,05/11/2023,08/03/2024,online form,citizen,,failure to respond,משרד המשפטים,failure to respond סמוכין 394563 מתאריך 05.11.23 ,termination of treatment,unjustified,13/03/2024,5
 312/23,12/06/2023,06/08/2023,online form,citizen,,failure to respond,משרד החקלאות ופיתוח הכפר,"failure to respond אורן לביא מנכל לבקשת מידע 375457 """,termination of treatment,unjustified,14/12/2023,130
 90/24,12/02/2024,14/03/2024,online form,citizen,,failure to respond,משרד התחבורה והבטיחות בדרכים,פעילות אוטובוס מס' רישוי 37-789-55,termination of treatment,unjustified,03/04/2024,21
 257/24,15/02/2024,15/07/2024,online form,non-profit organization,מוסרי ארגון זכויות אדם יהודי,failure to respond,משרד הבריאות,נטילת זרע מנפטר - כריתת אשכים,termination of treatment,justified,21/08/2024,37
 247/22,17/10/2021,07/06/2022,online form,citizen,,failure to respond,משרד החינוך,קיצור שבוע הלימודים,termination of treatment,justified,13/06/2022,6
 210/23,03/01/2023,30/05/2023,online form,non-profit organization,איחוד הישיבות בארי,failure to respond,משרד המשפטים,נהלים ומדיניות- פרקליטות המדינה,termination of treatment,justified,12/07/2023,43
 292/23,04/05/2023,26/07/2023,online form,citizen,,failure to respond,רשות האוכלוסין וההגירה,גיור בישראל,termination of treatment,justified,31/07/2023,5
 230/22,05/04/2022,28/05/2022,online form,citizen,,lack of reasoning,משרד הבינוי והשיכון,גילוי מסמכים בעניין הצמדת מדד תשומות הבניה,termination of treatment,unjustified,30/05/2022,2
 320/22,09/09/2021,02/08/2022,online form,citizen,,failure to respond,משרד הבריאות,דוח ביקורת מלון פלזה - נוף הגליל,termination of treatment,justified,09/02/2023,191
 135/23,11/12/2022,02/04/2023,online form,non-profit organization,איחוד הישיבות בארי,failure to respond,"צהל""","אי-מתן מענה (מסד)""",termination of treatment,justified,28/06/2023,87
 638/21,23/12/2021,27/12/2021,online form,company,,failure to respond,משרד הכלכלה,מענה לחופש המידע,termination of treatment,unjustified,10/03/2022,73
 414/23,06/08/2023,12/09/2023,online form,citizen,,failure to respond,המשרד לירושלים ומורשת,ועדת איתור ליועמש,termination of treatment,unjustified,20/09/2023,8
 277/23,20/03/2022,19/07/2023,online form,citizen,,failure to respond,משרד התיירות,אין מתן מענה,termination of treatment,unjustified,29/02/2024,225
 500/22,02/08/2022,25/12/2022,online form,non-profit organization,החברה להגנת הטבע,failure to respond,המשרד להגנת הסביבה,תאורה באסדת הגז לוויתן,termination of treatment,justified,03/05/2023,129
 241/24,30/05/2024,08/07/2024,online form,citizen,,failure to respond,משרד הבריאות,תלונה על קבלת מידע שלא על פי החוק,termination of treatment,justified,08/08/2024,31
 361/24,23/09/2023,14/10/2024,online form,citizen,,failure to respond,משרד החינוך,תיק אישי של התמיד ,termination of treatment,unjustified,16/10/2024,2
 391/24,22/08/2023,10/11/2024,online form,citizen,,failure to respond,משרד הבריאות,חיסון נשים הרות נגד נגיף הקורונה,undergoing treatment,,,18
 320/24,24/04/2022,11/09/2024,online form,citizen,,failure to respond,משרד החינוך,תיק אישי,termination of treatment,unjustified,16/09/2024,5
 224/24,11/02/2024,25/06/2024,online form,non-profit organization,העמותה הקהילתית גבעת מרדכי,failure to respond,משרד הבריאות,חיסון הפפילומה - יעילות ותופעות,termination of treatment,justified,12/08/2024,48
 430/23,15/09/2023,14/10/2023,online form,citizen,,failure to respond,משרד הרווחה והשירותים החברתיים,קבלת סיכום טיפול בפניה,termination of treatment,unjustified,18/12/2023,65
 227/22,18/05/2022,24/05/2022,online form,citizen,,failure to respond,משרד התחבורה והבטיחות בדרכים,"דוח תיקופים מפורט""",termination of treatment,justified,10/08/2022,78
 216/22,09/01/2022,18/05/2022,online form,non-profit organization,התעוררות בירושלים,failure to respond,המשרד להגנת הסביבה,פחים כתומים עיריית ירושלים,termination of treatment,justified,01/08/2022,75
 57/22,12/12/2021,14/02/2022,online form,citizen,,failure to respond,משרד ראש הממשלה,הספריה הלאומית,termination of treatment,justified,26/05/2022,101
 180/23,21/01/2023,10/05/2023,online form,citizen,,failure to respond,משטרת ישראל,הפגנה מיום 14/01/2023,termination of treatment,justified partially,29/06/2023,50
 488/22,22/10/2022,22/12/2022,online form,citizen,,failure to respond,הנהלת בתי המשפט,בקשת מידע צווים שיפוטים,termination of treatment,unjustified,22/12/2022,0
 95/22,31/08/2021,13/03/2022,online form,non-profit organization,תנו לחיות לחיות,failure to respond,משרד החקלאות ופיתוח הכפר,ניצול תקציבים,termination of treatment,justified,19/05/2022,67
 146/24,22/10/2023,06/05/2024,online form,citizen,,failure to respond,משרד הבינוי והשיכון,בירור בפרויקט מחיר למשתכן,termination of treatment,justified,13/06/2024,38
 213/24,05/02/2024,20/06/2024,online form,citizen,,failure to respond,משרד התחבורה והבטיחות בדרכים,תוכנית התחבורה הציבורית מואז שדות דן,termination of treatment,justified,31/07/2024,41
 303/22,29/05/2022,20/07/2022,online form,citizen,,failure to respond,משרד החינוך,פרטי מפעילי קייטנות,termination of treatment,justified,28/07/2022,8
 248/23,07/11/2022,26/06/2023,online form,non-profit organization,אזרחים למען אוויר נקי,failure to respond,"מתאם פעולות הממשלה בשטחים (מתפש)""","נתונים על שריפות פסולת ועל אכיפה סביבתית ביוש""",termination of treatment,unjustified,28/06/2023,3
 34/22,15/11/2021,28/01/2022,online form,citizen,,failure to respond,משרד הבריאות,הסברה בציבור החרדי,termination of treatment,justified,28/03/2022,59
 400/23,10/07/2023,07/09/2023,online form,citizen,,failure to respond,מנהל citizenי אזור יהודה ושומרון,בניין ארמון הנציב,termination of treatment,unjustified,29/11/2023,83
 32/23,05/12/2022,31/01/2023,online form,citizen,,failure to respond,משרד הבריאות,בקשה לקבלת מידע ומסמכים בעניינה של המיוצגת ,termination of treatment,justified,08/06/2023,128
 63/23,11/01/2023,19/02/2023,online form,citizen,,failure to respond,משרד החינוך,"השעיית תלמידי חינוך מיוחד בביס האלה במודיעין""",termination of treatment,justified,29/03/2023,38
 35/23,06/12/2022,06/02/2023,online form,non-profit organization,מגן ביטחון,failure to respond,"צהל""",נתונים אודות פיטורים בעילת צמצום כוחות סדירים,termination of treatment,justified,11/05/2023,94
 55/22,31/01/2022,14/02/2022,online form,citizen,,failure to respond,משרד המשפטים,"ועדת איתור ליועמש""",termination of treatment,justified,11/09/2022,209
 448/22,09/10/2022,24/11/2022,online form,citizen,,failure to respond,משרד המשפטים,בקשת מידע,termination of treatment,unjustified,22/12/2022,28
 316/24,13/06/2024,05/09/2024,online form,other,,failure to respond,משרד האוצר,ישיבות שר האוצר עם הגורמים המקצועיים במשרדו,termination of treatment,justified,07/10/2024,32
 287/22,22/05/2022,04/07/2022,online form,non-profit organization,עד כאן - צעירים למען ישראל,failure to respond,מנהל citizenי אזור יהודה ושומרון,העסקת פלסטינים במנהל הcitizenי,termination of treatment,justified partially,05/07/2022,1
 428/23,04/07/2023,11/10/2023,online form,citizen,,failure to respond,משרד ראש הממשלה,failure to respond לבקשת מידע סמוכין 378452   04.07.23   ,termination of treatment,unjustified,14/12/2023,64
