"מספר התלונה","תאריך הגשת הבקשה למידע","תאריך קבלת תלונה","ערוץ קבלת תלונה","סוג המתלונן","שם המתלונן"," נושא התלונה","שם הנילון","נושא בקשת חופש מידע","סטטוס","החלטה","תאריך סיום טיפול","מספר ימי טיפול",
" 438/21","16/03/2021","25/09/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד המשפטים","הוראות הפרקליטות בדבר המשך חקירה","סיום טיפול","מוצדק","10/03/2022","166",
" 446/21","29/06/2021","26/09/2021","טופס מקוון","עמותה","פרטיות ישראל","אי מתן מענה","משרד הבריאות","מאגרי מידע במשרד הבריאות","סיום טיפול","מוצדק","28/03/2022","183",
" 473/21","28/01/2021","06/10/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד האוצר","נתונים בדבר תשלום ניכויים לארגוני עובדים","סיום טיפול","מוצדק","11/04/2022","188",
" 479/21","04/02/2021","13/10/2021","טופס מקוון","עמותה","החברה להגנת הטבע","אי מתן מענה","המשרד להגנת הסביבה","אירועי הזרמת חירום של שפכים לים","סיום טיפול","מוצדק","16/03/2022","154",
" 484/21","02/09/2021","15/10/2021","טופס מקוון","עמותה","פורום משפחות עולים","חוסר בהנמקה","משרד הבינוי והשיכון","דיור ציבורי מכר דירות","סיום טיפול","בלתי מוצדק","10/03/2022","147",
" 492/21","02/09/2021","18/10/2021","טופס מקוון","עמותה","אם תרצו","אי מתן מענה","משרד ראש הממשלה","פריסת הפרסום בין כלי התקשורת","סיום טיפול","מוצדק","17/02/2022","122",
" 564/21","16/06/2021","27/10/2021","טופס מקוון","אזרח","","אי מתן מענה","האפוטרופוס הכללי והכונס הרשמי","קרן תובענות יצוגיות","סיום טיפול","מוצדק","03/11/2021","7",
" 566/21","01/08/2021","31/10/2021","טופס מקוון","אזרח","","חוסר בהנמקה","משרד התחבורה והבטיחות בדרכים","התכתובת של משרד התחבורה מול מר דינר וחברת אמבולנס סמי, בנוגע לקבלת אישור להסבת הרכב, לרכב רגיל שאינו אמבולנס","סיום טיפול","מוצדק","30/05/2022","211",
" 567/21","26/08/2021","31/10/2021","טופס מקוון","אזרח","","אי מתן מענה","רשות המסים בישראל","שאלות בנושא רשימון ייצוא מרוכז","סיום טיפול","בלתי מוצדק","07/11/2021","7",
" 571/21","09/08/2021","02/11/2021","טופס מקוון","אזרח","","אי מתן מענה","רשות האוכלוסין וההגירה",""נוהל הטיפול" של רישום ילד שנולד בחוץ לארץ לאזרחים ישראליים","סיום טיפול","בלתי מוצדק","24/11/2021","23",
" 572/21","11/04/2021","02/11/2021","טופס מקוון","אחר","","אי מתן מענה","צה"ל","מידע לגבי טיפול צה''ל בחיילים שהורשעו בעבירות סמים","סיום טיפול","מוצדק","28/03/2022","146",
" 575/21","26/05/2021","08/11/2021","טופס מקוון","אזרח","","אי מתן מענה","המשרד להגנת הסביבה","רשימת דו"חות במסגרת יישום אזור אוויר נקי בחיפה","סיום טיפול","מוצדק","07/02/2022","91",
" 577/21","24/08/2021","09/11/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","עמידה בנהלי חוזרי מנכ"ל - לימודי יסוד","סיום טיפול","מוצדק","07/02/2022","90",
" 580/21","12/08/2021","16/11/2021","טופס מקוון","אזרח","","חוסר בהנמקה","משרד התחבורה והבטיחות בדרכים","תקצוב משרד התחבורה פרויקטים תחבורתיים וסובסידיות ב","סיום טיפול","מוצדק","09/02/2022","85",
" 585/21","30/09/2021","22/11/2021","טופס מקוון","אזרח","","אי מתן מענה","הנהלת בתי הדין הרבניים","ישבת  דיינים בבתי דין","סיום טיפול","מוצדק","24/03/2022","122",
" 205/22","12/01/2022","11/05/2022","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד המשפטים","מידע לעניין נזקי גוף משטרת ישראל","סיום טיפול","בלתי מוצדק","23/05/2022","11",
" 250/22","03/02/2022","07/06/2022","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד הבריאות","דוח הוועדה בנושא גזענות, אפליה והדרה במערכת הבריאות","סיום טיפול","מוצדק","01/08/2022","53",
" 251/22","26/04/2022","01/06/2022","דואר אלקטרוני","אזרח","","חוסר בהנמקה","משטרת ישראל","תלונות שהוגשו על ידי עיריית נס ציונה על אי שליחת ילדים למסגרת חינוכית","סיום טיפול","בלתי מוצדק","13/06/2022","4",
" 266/22","07/04/2022","15/06/2022","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד הבריאות","רישיון תמרוק ל- listerine","סיום טיפול","מוצדק","01/08/2022","46",
" 272/22","10/04/2022","20/06/2022","דואר אלקטרוני","חברה","","אי מתן מענה","משרד העבודה","מפקחי עבודה פעילים ותאריכי הסמכה","סיום טיפול","מוצדק","01/08/2022","42",
" 315/22","27/06/2022","28/07/2022","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד הבריאות","אי קבלת מענה לפנייה 645414","סיום טיפול","בלתי מוצדק","10/08/2022","13",
" 328/22","04/04/2022","06/08/2022","דואר אלקטרוני","אזרח","","חוסר בהנמקה","משרד הבינוי והשיכון","קבלת מסמכים לפרויקט מחיר למשתכן שבירו רמת גן","סיום טיפול","מוצדק","24/01/2024","535",
" 362/22","20/01/2022","25/08/2022","דואר אלקטרוני","עמותה","המכון הישראלי לדמוקרטיה","אי מתן מענה","משרד ראש הממשלה","נתונים על פעילות מערך הגיור","סיום טיפול","מוצדק","14/09/2022","20",
" 383/22","21/02/2022","11/09/2022","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד התחבורה והבטיחות בדרכים","פרוטוקולים - תחנה מרכזית תל אביב","סיום טיפול","מוצדק","12/07/2023","304",
" 467/22","12/08/2022","04/12/2022","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד התחבורה והבטיחות בדרכים","נתוני זיהום אוויר חברת קארדאטא בקשת מידע מס' 336640","סיום טיפול","מוצדק","09/03/2023","94",
" 17/23","20/09/2022","10/01/2023","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד ההתיישבות","תמיכה בגרעיני משימה","סיום טיפול","מוצדק","19/02/2023","39",
" 18/23","15/08/2022","10/01/2023","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד החינוך","בקשת מידע על ערך הנקודה במספר תקנות","סיום טיפול","מוצדק","09/02/2023","29",
" 128/23","19/01/2023","27/03/2023","דואר אלקטרוני","אזרח","","חוסר בהנמקה","משרד הכלכלה","מפת חלוקת קרקעות הודיה","סיום טיפול","בלתי מוצדק","20/04/2023","23",
" 156/23","06/03/2023","03/05/2023","דואר אלקטרוני","אזרח","","אי מתן מענה","צה"ל","אסמכתאות לקיום הכרזה כשטח אש","סיום טיפול","מוצדק","24/05/2023","21",
" 172/23","14/02/2023","09/05/2023","דואר אלקטרוני","אזרח","","אי מתן מענה","הרשות הארצית לכבאות והצלה","שריפות פסולת","סיום טיפול","מוצדק","31/05/2023","22",
" 183/23","23/03/2023","08/05/2023","דואר אלקטרוני","אזרח","","אי מתן מענה","רשות שוק ההון, הביטוח והחיסכון","חוזרי המפקח על הביטוח","סיום טיפול","מוצדק","13/06/2023","33",
" 250/23","15/11/2020","19/06/2023","דואר אלקטרוני","אזרח","","אי מתן מענה","המשרד להגנת הסביבה","מטרדי ריח","סיום טיפול","מוצדק","08/08/2023","42",
" 270/23","19/06/2022","10/07/2023","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד הבריאות","תנאי מכרז "קול הבריאות"","סיום טיפול","מוצדק","10/08/2023","29",
" 314/23","10/03/2023","06/08/2023","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד הבריאות","הנחיות המשרד","סיום טיפול","מוצדק חלקית","24/01/2024","169",
" 391/23","25/05/2023","09/08/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד הרווחה והשירותים החברתיים","פנימיית אורנים","סיום טיפול","מוצדק","28/03/2024","211",
" 395/23","29/03/2023","04/09/2023","טופס מקוון","עמותה","האגודה לזכויות האזרח","אי מתן מענה","שירות בתי הסוהר","אסיר נזקק ועיקולים","סיום טיפול","מוצדק","24/01/2024","142",
" 396/23","20/03/2023","04/09/2023","טופס מקוון","עמותה","האגודה לזכויות האזרח","אי מתן מענה","שירות בתי הסוהר","רכישות בקנטינה","סיום טיפול","מוצדק","18/01/2024","136",
" 399/23","15/02/2023","21/08/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","פירוט טיפול בפניות","סיום טיפול","בלתי מוצדק","14/12/2023","99",
" 408/23","03/08/2022","11/09/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","תקציבי פרסום","סיום טיפול","מוצדק","10/01/2024","120",
" 409/23","20/02/2023","11/09/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","שיתוק רפה חד","סיום טיפול","מוצדק","10/01/2024","120",
" 410/23","28/09/2022","11/09/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","מסקנות ועדה","סיום טיפול","מוצדק","10/01/2024","120",
" 411/23","31/01/2023","10/09/2023","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד הבריאות","נתונים גולמיים של הגרלות הסטאז'","סיום טיפול","מוצדק","21/09/2023","9",
" 413/23","29/01/2023","25/07/2023","טופס מקוון","עמותה","קו לעובד","אי מתן מענה","משרד העבודה","פעולות אכיפה של מינהל הבטיחות","סיום טיפול","מוצדק","08/04/2024","209",
" 25/24","30/07/2023","23/01/2024","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד החינוך","החלת אופק חדש על החינוך המוכש"ר","סיום טיפול","מוצדק","26/02/2024","33",
" 98/24","17/07/2023","17/03/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד העבודה","מפעילי עגורן צריח - מנופאים","סיום טיפול","בלתי מוצדק","09/05/2024","52",
" 100/24","20/02/2024","20/03/2024","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד הפנים","תיקי פיקוח","סיום טיפול","בלתי מוצדק","20/03/2024","0",
" 122/24","08/02/2024","11/04/2024","טופס מקוון","עמותה","איחוד הישיבות באר"י","אי מתן מענה","צה"ל","גיוס מלש"ביות וועדות ערר","סיום טיפול","מוצדק","20/06/2024","66",
" 198/24","11/04/2024","03/06/2024","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד המשפטים","דרוג עובדים רשות השידור","סיום טיפול","בלתי מוצדק","20/06/2024","17",
" 208/24","01/06/2024","13/06/2024","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד המשפטים","עיון בתיק חקירה 16020","סיום טיפול","מוצדק","31/07/2024","44",
" 231/24","31/03/2024","04/07/2024","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד המשפטים","חוו"ד משרד המשפטים","סיום טיפול","מוצדק","01/08/2024","28",
" 251/24","09/06/2024","14/07/2024","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד התיירות","ביקורת פנימית משרד התיירות","סיום טיפול","בלתי מוצדק","19/08/2024","35",
" 252/24","28/09/2023","14/07/2024","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד הבריאות","דבש שרשת רמי לוי ייבאה לישראל","סיום טיפול","מוצדק","27/08/2024","43",
" 280/24","01/06/2024","13/06/2024","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד המשפטים","עיון בתיק חקירה 16020","סיום טיפול","מוצדק","18/09/2024","50",
" 281/24","15/05/2024","25/07/2024","טופס מקוון","עמותה","איחוד הישיבות באר"י","אי מתן מענה","צה"ל","מלש"בים שקיבלו מעמד של 'חוזרים בתשובה'","סיום טיפול","מוצדק","16/09/2024","48",
" 293/24","15/05/2024","04/08/2024","דואר אלקטרוני","אזרח","","אי מתן מענה","רשות האכיפה והגבייה","4 תיקי חוב","סיום טיפול","בלתי מוצדק","22/08/2024","8",
" 347/24","10/05/2024","06/10/2024","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד ראש הממשלה","ייעוץ לרה"מ מטעם משרדו","סיום טיפול","מוצדק","11/11/2024","35",
" 366/24","03/04/2024","27/10/2024","דואר אלקטרוני","אזרח","","אי מתן מענה","המשרד להגנת הסביבה","פליטה של מפעל הסמוך למקום מגורים","סיום טיפול","מוצדק","03/11/2024","7",
" 282/23","10/06/2023","20/07/2023","טופס מקוון","אזרח","","אי מתן מענה","הרשות הארצית לכבאות והצלה","קבלת הקלטות שיחה","סיום טיפול","בלתי מוצדק","08/08/2023","20",
" 24/22","07/11/2021","20/01/2022","טופס מקוון","עמותה","תחרות - התנועה לחירות בתעסוקה","אי מתן מענה","משרד החינוך","תקצוב ארגוני המורים","סיום טיפול","מוצדק","14/02/2022","25",
" 387/24","13/06/2024","08/11/2024","טופס מקוון","עמותה","נדן - סיוע משפטי לחיילים בשירות חובה","אי מתן מענה","צה"ל","תמיכות, עבירות ומשמעת, ועוד","בטיפול","","","17",
" 234/22","06/02/2022","31/05/2022","טופס מקוון","עמותה","המכון הישראלי לדמוקרטיה","אי מתן מענה","משרד העבודה","אכיפת איסור העסקה ביום המנוחה","סיום טיפול","מוצדק","19/07/2022","49",
" 235/24","31/12/2023","07/07/2024","טופס מקוון","אחר","","אי מתן מענה","משרד התחבורה והבטיחות בדרכים","פרטים אודות משאית MAN מדגם TGS","סיום טיפול","מוצדק","11/07/2024","4",
" 407/23","25/12/2022","12/09/2023","טופס מקוון","עמותה","תנו לחיות לחיות","אי מתן מענה","משרד החקלאות ופיתוח הכפר","תקציבי פרסום","סיום טיפול","מוצדק","29/02/2024","170",
" 348/24","22/07/2024","07/10/2024","טופס מקוון","עמותה","עתים - יעוץ ומידע במעגל החיים היהודי","אי מתן מענה","המשרד לשירותי דת","ניפוח שעות עבודה לצורך אי מתן מענה","סיום טיפול","בלתי מוצדק","15/10/2024","8",
" 77/23","31/08/2022","02/03/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","ציוני בגרות","סיום טיפול","מוצדק","29/03/2023","27",
" 231/22","09/03/2022","30/05/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד ראש הממשלה","תמיכות משרד ההתיישבות בהקמה ותפעול של מחלקות סיור ","סיום טיפול","מוצדק","13/07/2022","44",
" 213/22","22/02/2022","16/05/2022","טופס מקוון","עמותה","נושמים נקי","אי מתן מענה","משרד הבריאות","מס' פניה 651507","סיום טיפול","מוצדק","07/06/2022","22",
" 210/24","11/02/2024","19/06/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד התחבורה והבטיחות בדרכים","צי האוטובוסים של חברת גלים","סיום טיפול","מוצדק","30/07/2024","41",
" 255/23","07/11/2022","01/07/2023","טופס מקוון","עמותה","אזרחים למען אוויר נקי","אי מתן מענה","מנהל אזרחי אזור יהודה ושומרון","שריפות פסולת ואכיפה סביבתית","סיום טיפול","מוצדק","11/09/2023","72",
" 33/22","19/10/2021","27/01/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד ראש הממשלה","ביצוע החלטות הממשלה","סיום טיפול","מוצדק","26/05/2022","119",
" 70/24","09/08/2023","03/03/2024","טופס מקוון","עמותה","קו לעובד","אי מתן מענה","משרד הבריאות","העתק הסכם משרד הבריאות","סיום טיפול","מוצדק","18/04/2024","46",
" 635/21","26/10/2021","27/12/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","אי מתן מענה לפנייה דרך חוק חופש המידע","סיום טיפול","מוצדק","09/02/2022","44",
" 61/24","08/01/2024","19/02/2024","טופס מקוון","אזרח","","אי מתן מענה","המשרד להגנת הסביבה","אי מתן מענה","סיום טיפול","בלתי מוצדק","26/02/2024","7",
" 495/23","25/12/2022","14/12/2023","טופס מקוון","עמותה","תנו לחיות לחיות","אי מתן מענה","משרד החקלאות ופיתוח הכפר","פרסום מזון וצער בעלי חיים","סיום טיפול","מוצדק","18/03/2024","95",
" 22/22","30/09/2021","19/01/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","כמות ניפוקי קנאביס רפואי בפועל","סיום טיפול","מוצדק","26/05/2022","127",
" 496/22","02/10/2022","23/12/2022","טופס מקוון","אזרח","","אי מתן מענה","שירות בתי הסוהר","בקשת מידע","סיום טיפול","בלתי מוצדק","28/12/2022","5",
" 309/24","18/10/2023","03/09/2024","טופס מקוון","אזרח","","חוסר בהנמקה","משרד הבריאות","התכתבויות בין משרד הבריאות לבי"ח העמק בעניין מרשיי","סיום טיפול","מוצדק","29/10/2024","56",
" 190/23","10/01/2023","16/05/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד התחבורה והבטיחות בדרכים","דוח בדיקה על השפעת נוכחות שיטור","סיום טיפול","מוצדק","28/06/2023","43",
" 329/22","20/06/2021","09/08/2022","טופס מקוון","אחר","","אי מתן מענה","משרד המשפטים","מסמכים שונים -יועמ"ש","סיום טיפול","מוצדק","31/12/2023","509",
" 114/24","17/01/2024","10/04/2024","טופס מקוון","עמותה","תנו לחיות לחיות","אי מתן מענה","צה"ל","כלבי שירות בצה"ל","סיום טיפול","מוצדק","06/06/2024","57",
" 254/22","27/01/2022","12/06/2022","טופס מקוון","אזרח","","אי מתן מענה","מנהל אזרחי אזור יהודה ושומרון","צו 348: הנחיות מנהליות ומידע","סיום טיפול","מוצדק","18/07/2022","36",
" 311/24","29/05/2024","04/09/2024","טופס מקוון","אזרח","","אי מתן מענה","צה"ל","הכנסת כספים לרצועת עזה","סיום טיפול","מוצדק","15/10/2024","41",
" 92/24","04/02/2024","14/03/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד התחבורה והבטיחות בדרכים","ביצוע בפועל של קווים שונים 2022-2023","סיום טיפול","מוצדק","26/06/2024","105",
" 363/22","29/05/2022","27/08/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","קבלת דו"ח מומחה חיצוני","סיום טיפול","מוצדק","04/05/2023","251",
" 304/22","05/07/2022","20/07/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד העבודה","מידע על צהרונים ופרטי קשר","סיום טיפול","בלתי מוצדק","01/08/2022","12",
" 323/23","12/03/2023","11/08/2023","טופס מקוון","אחר","","אי מתן מענה","משרד החקלאות ופיתוח הכפר","נוהל המלצות להעסקת עובדים פלסטינים","סיום טיפול","מוצדק","31/08/2023","20",
" 131/23","30/01/2023","29/03/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד החקלאות ופיתוח הכפר","פיקוח השירות הוטרינרי על אוניות המשמשות להובלת מקנה","סיום טיפול","מוצדק","24/08/2023","148",
" 188/23","22/12/2022","14/05/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","מידע בדבר פעילות לאכיפת נוהל השתתפות סטודנטים ","סיום טיפול","מוצדק","25/07/2023","72",
" 296/23","20/04/2023","27/07/2023","טופס מקוון","עמותה","מגן ביטחון","אי מתן מענה","צה"ל","פרישה ושחרור מצה"ל נוכח נסיבות רפואיות","סיום טיפול","מוצדק","21/09/2023","56",
" 415/23","01/08/2023","12/09/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד התיירות","נהלי משרד התיירות","סיום טיפול","מוצדק","29/02/2024","170",
" 611/21","13/12/2021","15/12/2021","טופס מקוון","אזרח","","חוסר בהנמקה","רשות המסים בישראל","פטור חלקי ממס רכישה לנכה","סיום טיפול","בלתי מוצדק","10/03/2022","85",
" 477/22","02/12/2022","12/12/2022","טופס מקוון","אזרח","","אגרות","הרשות הארצית לכבאות והצלה","דרישה לחשיפת ההנחיות המינהליות של הרשות הארצית לכב","סיום טיפול","מוצדק","20/02/2023","70",
" 484/23","17/04/2023","21/11/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","פורמולת מזון לתינוקות נוטרילון","סיום טיפול","מוצדק","31/01/2024","71",
" 99/22","20/10/2021","13/03/2022","טופס מקוון","עמותה","תנו לחיות לחיות","אי מתן מענה","משרד החקלאות ופיתוח הכפר","היתרי מופעים עם בעלי חיים","סיום טיפול","מוצדק","30/05/2022","78",
" 220/23","30/03/2023","08/06/2023","טופס מקוון","עמותה","איחוד הישיבות באר"י","אי מתן מענה","צה"ל","תקופת ההסתגלות השנייה","סיום טיפול","מוצדק","08/02/2024","245",
" 84/22","01/02/2022","02/03/2022","טופס מקוון","אזרח","","אי מתן מענה","רשות האוכלוסין וההגירה","בקשה לקבלת מידע מכח חוק חופש המידע","סיום טיפול","בלתי מוצדק","07/03/2022","6",
" 68/24","22/01/2024","26/02/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","הרכב הוועדה בנושא המדיניות על הסיגריות האלקטרוניות","סיום טיפול","מוצדק","13/05/2024","77",
" 344/23","17/07/2023","20/08/2023","טופס מקוון","אזרח","","אי מתן מענה","הרשות הארצית לכבאות והצלה","שליחת מסמכים","סיום טיפול","בלתי מוצדק","29/01/2024","162",
" 612/21","15/12/2021","15/12/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","בתי ספר מצטיינים","סיום טיפול","מוצדק","28/04/2022","134",
" 2/22","09/11/2021","02/01/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד החוץ","בקשה לקבלת מידע לפי חוק חופש המידע","סיום טיפול","בלתי מוצדק","10/03/2022","68",
" 468/23","10/09/2023","10/11/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד החקלאות ופיתוח הכפר","אי מתן מענה סמוכין 388601  10.09.23","סיום טיפול","בלתי מוצדק","14/12/2023","34",
" 264/24","01/04/2024","16/07/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד העבודה","אישור מסירת עיצום","סיום טיפול","בלתי מוצדק","30/07/2024","14",
" 113/24","14/01/2024","10/04/2024","טופס מקוון","עמותה","תנו לחיות לחיות","אי מתן מענה","משרד הבריאות","חלופות ניסויים בבעלי חיים","סיום טיפול","מוצדק","10/06/2024","61",
" 334/24","09/04/2024","19/09/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","חוק יום הזיכרון ליצחק רבין במערכת החינוך","סיום טיפול","מוצדק","23/09/2024","4",
" 416/22","02/05/2022","26/10/2022","טופס מקוון","אחר","","אי מתן מענה","משרד המשפטים","תלונה על אי מתן מענה לבקשה לקבלת מידע על פי החוק","סיום טיפול","מוצדק","03/05/2023","189",
" 53/22","18/01/2022","10/02/2022","טופס מקוון","אזרח","","חוסר בהנמקה","בית חולים איכילוב","מידע בנושאים שונים בנושא קורונה","סיום טיפול","בלתי מוצדק","21/02/2022","11",
" 72/24","04/02/2024","04/03/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","תוצאות הטיפול בחברת סנקי","סיום טיפול","מוצדק","02/05/2024","59",
" 415/22","05/09/2022","24/10/2022","טופס מקוון","עמותה","איחוד הישיבות באר"י","אי מתן מענה","צה"ל","קוד מוסד לישיבות","סיום טיפול","מוצדק","03/05/2023","191",
" 139/23","02/02/2023","03/04/2023","טופס מקוון","עמותה","מגן ביטחון","אי מתן מענה","צה"ל","רכישת זכויות בגין שנים קודמות בשירות קבע","סיום טיפול","מוצדק","10/07/2023","98",
" 142/22","27/02/2022","31/03/2022","טופס מקוון","אזרח","","אי מתן מענה","המשרד לביטחון לאומי","מתן נימוקים אודות החמרה בקריטריונים לחידוש רישיון","סיום טיפול","מוצדק חלקית","28/04/2022","28",
" 293/23","14/04/2023","26/07/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד החקלאות ופיתוח הכפר","מענה מהמנכ"ל","סיום טיפול","בלתי מוצדק","30/07/2023","4",
" 498/23","03/08/2023","27/12/2023","טופס מקוון","אזרח","","אי מתן מענה","מנהל אזרחי אזור יהודה ושומרון","הנחיות מנהליות וחקיקה ראשית ומשנית בצו 348","סיום טיפול","מוצדק","03/06/2024","159",
" 114/22","16/02/2022","22/03/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","גב' דלית שטאובר - ניגוד עניינים וחוות דעת","סיום טיפול","מוצדק","06/04/2022","15",
" 208/23","03/01/2023","30/05/2023","טופס מקוון","עמותה","איחוד הישיבות באר"י","אי מתן מענה","משרד המשפטים","הפגנות ומחאות","סיום טיפול","מוצדק","12/07/2023","43",
" 450/22","09/07/2022","24/11/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הפנים","אישור ונימוקים להעלאת ארנונה - שערי תקווה","סיום טיפול","בלתי מוצדק","22/12/2022","28",
" 127/24","08/08/2023","24/04/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","פרוטוקולים של הועדה הציבורית להרחבת סל השירותים","סיום טיפול","מוצדק","18/07/2024","85",
" 120/23","07/02/2023","16/03/2023","טופס מקוון","עמותה","אלו"ט","אי מתן מענה","משרד החינוך","מידע בנושא הרפורמה בחינוך המיוחד","סיום טיפול","מוצדק","24/05/2023","69",
" 15/22","04/10/2021","16/01/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","פרטי שכר ראש מטה מגן ישראל","סיום טיפול","מוצדק","28/03/2022","71",
" 520/22","30/11/2022","30/12/2022","טופס מקוון","אזרח","","אי מתן מענה","משטרת ישראל","אי קבלת מענה מפניות הציבור","סיום טיפול","בלתי מוצדק","11/01/2023","12",
" 46/23","26/12/2022","08/02/2023","טופס מקוון","עמותה","תנו לחיות לחיות","אי מתן מענה","משרד החינוך","בעלי חיים במוסדות חינוך","סיום טיפול","מוצדק","02/03/2023","22",
" 228/24","10/01/2024","01/07/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד המשפטים","חו"ד היועמ"ש שהוגשה בעע"מ 6542/15","סיום טיפול","מוצדק","08/08/2024","38",
" 250/24","19/11/2023","15/07/2024","טופס מקוון","עמותה","מוסרי ארגון זכויות אדם יהודי","אי מתן מענה","צה"ל","אישור חיילים לשימוש בזרעם","סיום טיפול","מוצדק","19/08/2024","35",
" 135/24","27/02/2022","02/05/2024","טופס מקוון","אזרח","","אי מתן מענה","רשות מקרקעי ישראל","מידע דחוף","סיום טיפול","בלתי מוצדק","25/07/2024","84",
" 32/22","04/01/2022","26/01/2022","טופס מקוון","אזרח","","אי מתן מענה","רשות האוכלוסין וההגירה","בקשה לקבלת מידע לפי חוק חופש המידע התשנ"ח - 1998","סיום טיפול","בלתי מוצדק","27/02/2022","32",
" 31/24","25/12/2023","30/01/2024","טופס מקוון","אזרח","","אי מתן מענה","המשרד לביטחון לאומי","מינויי השר לפקידי רישוי לכלי יריה","סיום טיפול","מוצדק","04/04/2024","65",
" 392/24","18/04/2023","10/11/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","צוות איפכא מסתברא","בטיפול","","","15",
" 184/22","16/03/2022","26/04/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד החקלאות ופיתוח הכפר","מסמכים מהחלטת פקיד היערות להשגה","סיום טיפול","מוצדק חלקית","28/06/2022","63",
" 373/24","18/06/2024","01/11/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","מחלת הסרטן במושב מאור (מחוז חיפה)","בטיפול","","","24",
" 356/24","31/01/2021","11/10/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","קבלת מידע (קיים)","סיום טיפול","בלתי מוצדק","27/10/2024","16",
" 36/23","14/03/2022","06/02/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","ביקורת שעות בחטיבות עליונות","סיום טיפול","מוצדק","23/02/2023","17",
" 266/23","31/01/2023","09/07/2023","טופס מקוון","עמותה","יוצאים לשינוי","אי מתן מענה","צה"ל","בוגרי החינוך החרדי בצה"ל","סיום טיפול","מוצדק","21/09/2023","74",
" 127/23","28/02/2023","26/03/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד המשפטים","אי מתן מענה","סיום טיפול","בלתי מוצדק","10/05/2023","45",
" 266/24","16/05/2024","17/07/2024","טופס מקוון","אזרח","","חוסר בהנמקה","משרד התחבורה והבטיחות בדרכים","פרוטוקולים","סיום טיפול","בלתי מוצדק","08/10/2024","84",
